match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2024-06-08,france-top-14,2023-2024,Stade Rochelais,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-rochelais-racing-92-dSs9TRn1/,24,19,1.25,3.75,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-06-15,france-top-14,2023-2024,RC Toulonnais,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/rc-toulonnais-stade-rochelais-WCjHGOw8/,29,34,1.4405,2.63,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2024-06-16,france-top-14,2023-2024,Bordeaux Begles,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/bordeaux-begles-racing-92-EyG1OzcE/,31,17,1.2198,4.0,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-06-16,france-top-14,2023-2024,Grenoble FC,Montpellier,https://www.oddsportal.com/rugby-union/france/pro-d2-2023-2024/grenoble-fc-montpellier-herault-rc-Onm9Ip9e/,18,20,3.75,1.25,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-06-21,france-top-14,2023-2024,Stade Toulousain,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-toulousain-stade-rochelais-xOSlVvJj/,39,23,1.25,3.75,,,,47.5,1.8333,1.8333,bet365.us,market-average,
2024-06-22,france-top-14,2023-2024,Stade Francais Paris,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-francais-paris-bordeaux-begles-jNhOR2pe/,20,22,2.75,1.4,,,,43.5,1.8333,1.8333,bet365.us,market-average,
2024-06-28,france-top-14,2023-2024,Stade Toulousain,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-toulousain-bordeaux-begles-jurk3mWF/,59,3,1.2899,3.5,,,,50.5,1.8,1.9091,bet365.us,market-average,
2024-12-29,france-top-14,2024-2025,Racing 92,Lyon,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/racing-92-lyon-ngQb420t/,25,25,1.25,3.75,,,,54.5,1.8333,1.8333,bet365.us,market-average,
2024-12-29,france-top-14,2024-2025,Stade Toulousain,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-toulousain-stade-francais-paris-joNF0Ka5/,38,23,1.01,17.0,,,,56.5,1.8333,1.8333,bet365.us,market-average,
2024-12-29,france-top-14,2024-2025,USA Perpignan,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/usa-perpignan-stade-rochelais-bH9WdxaU/,21,13,1.4405,2.63,,,,44.5,1.9091,1.8,bet365.us,market-average,
2025-01-04,france-top-14,2024-2025,Castres Olympique,Section Paloise,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/castres-olympique-section-paloise-xrusHupn/,24,19,1.2198,4.0,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2025-01-04,france-top-14,2024-2025,Lyon,USA Perpignan,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/lyon-usa-perpignan-6NWcDcqB/,17,12,1.2,4.33,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-01-04,france-top-14,2024-2025,Montpellier,Aviron Bayonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/montpellier-herault-rc-aviron-bayonnais-d4DUfkTq/,42,10,1.2198,4.0,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-01-04,france-top-14,2024-2025,RC Toulonnais,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-toulonnais-racing-92-IJ1wgTcd/,36,24,1.1701,4.5,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-01-04,france-top-14,2024-2025,Stade Francais Paris,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-francais-paris-bordeaux-begles-thmYEAKF/,19,46,1.5,2.5,,,,,,,bet365.us,,
2025-01-04,france-top-14,2024-2025,Stade Rochelais,Stade Toulousain,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-rochelais-stade-toulousain-E5otDlkS/,22,19,1.02,11.0,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-01-05,france-top-14,2024-2025,Vannes,Clermont,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-vannes-clermont-pQgPGWk3/,19,20,1.7299,2.0,,,,48.5,1.8333,1.8333,bet365.us,market-average,
2025-01-25,france-top-14,2024-2025,Bordeaux Begles,Lyon,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/bordeaux-begles-lyon-rsDnK5de/,20,22,1.11,6.0,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-01-25,france-top-14,2024-2025,Racing 92,Castres Olympique,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/racing-92-castres-olympique-dQl57SCk/,20,27,1.4,2.75,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-01-25,france-top-14,2024-2025,Section Paloise,Clermont,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/section-paloise-clermont-hCY7Rm4L/,20,14,1.25,3.75,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2025-01-25,france-top-14,2024-2025,Stade Toulousain,Montpellier,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-toulousain-montpellier-herault-rc-ATEvMRRr/,27,17,1.2198,4.0,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-01-25,france-top-14,2024-2025,USA Perpignan,Aviron Bayonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/usa-perpignan-aviron-bayonnais-v96eIqR7/,16,11,1.5,2.5,,,,,,,bet365.us,,
2025-01-25,france-top-14,2024-2025,Vannes,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-vannes-stade-francais-paris-pnVaT9Z8/,33,28,1.7299,2.0,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2025-01-26,france-top-14,2024-2025,RC Toulonnais,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-toulonnais-stade-rochelais-4jhD56s2/,45,26,1.11,6.0,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-02-15,france-top-14,2024-2025,Aviron Bayonnais,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/aviron-bayonnais-bordeaux-begles-SUnjvRmR/,36,32,1.3597,3.0,,,,49.5,1.7874,1.7874,bet365.us,market-average,
2025-02-15,france-top-14,2024-2025,Lyon,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/lyon-stade-rochelais-OEmLY4Bl/,53,17,1.2899,3.5,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-02-15,france-top-14,2024-2025,Montpellier,RC Toulonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/montpellier-herault-rc-rc-toulonnais-KtsUWrt1/,30,38,1.5,2.5,,,,44.5,1.8333,1.8333,bet365.us,market-average,
2025-02-15,france-top-14,2024-2025,Racing 92,Vannes,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/racing-92-rc-vannes-hfuxVMAD/,25,30,1.13,5.5,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-02-15,france-top-14,2024-2025,Stade Francais Paris,Section Paloise,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-francais-paris-section-paloise-82NOhQ2K/,39,37,1.3003,3.4,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-02-15,france-top-14,2024-2025,USA Perpignan,Castres Olympique,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/usa-perpignan-castres-olympique-xIDfm4Qs/,20,20,1.2899,3.5,,,,47.5,1.8333,1.8333,bet365.us,market-average,
2025-02-16,france-top-14,2024-2025,Clermont,Stade Toulousain,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/clermont-stade-toulousain-6FbstmJE/,18,35,1.5,2.5,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-02-22,france-top-14,2024-2025,Castres Olympique,Lyon,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/castres-olympique-lyon-bX13oref/,30,25,1.3597,3.0,,,,42.5,1.8333,1.8333,bet365.us,market-average,
2025-02-22,france-top-14,2024-2025,RC Toulonnais,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-toulonnais-stade-francais-paris-6c5BqMP6/,24,6,1.13,5.5,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-02-22,france-top-14,2024-2025,Section Paloise,USA Perpignan,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/section-paloise-usa-perpignan-hhAVlH1n/,23,6,1.2899,3.5,,,,,,,bet365.us,,
2025-02-22,france-top-14,2024-2025,Stade Rochelais,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-rochelais-racing-92-CfQWneWb/,21,26,1.08,7.0,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-02-22,france-top-14,2024-2025,Stade Toulousain,Aviron Bayonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-toulousain-aviron-bayonnais-KKTvoZ0B/,41,6,1.1,6.5,,,,51.5,1.8333,1.8333,bet365.us,market-average,
