match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2025-02-13,super-rugby,2025,Crusaders,Hurricanes,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/crusaders-hurricanes-2Nc03kYA/,33,25,1.5405,2.5,,,,52.5,1.9091,1.9091,bet365.us,market-average,
2025-02-14,super-rugby,2025,Blues,Chiefs,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/blues-waikato-chiefs-ATKRJAIi/,14,25,1.4,3.0,,,,53.5,1.9091,1.9091,bet365.us,market-average,
2025-02-14,super-rugby,2025,Fijian Drua,Brumbies,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/fijian-drua-act-brumbies-UXsud7Qp/,32,36,1.6803,2.2,,,,49.5,1.9091,1.9091,bet365.us,market-average,
2025-02-14,super-rugby,2025,Waratahs,Highlanders,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/waratahs-highlanders-bki91T2N/,37,36,1.3597,3.2,,,,48.5,1.9091,1.9091,bet365.us,market-average,
2025-02-15,super-rugby,2025,Western Force,Moana Pasifika,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/western-force-moana-pasifika-reYYHlm4/,45,44,1.4808,2.65,,,,56.5,1.9091,1.9091,bet365.us,market-average,
2025-02-20,super-rugby,2025,Chiefs,Crusaders,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/waikato-chiefs-crusaders-vNRsGSHG/,49,24,1.3597,3.2,,,,57.5,1.9091,1.9091,bet365.us,market-average,
2025-02-21,super-rugby,2025,Highlanders,Blues,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/highlanders-blues-dbb8Wm2c/,29,21,4.5,1.2,,,,57.5,1.9091,1.9091,bet365.us,market-average,
2025-02-21,super-rugby,2025,Hurricanes,Fijian Drua,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/hurricanes-fijian-drua-WK6M8pAj/,38,34,1.07,8.0,,,,68.5,1.9091,1.9091,bet365.us,market-average,
2025-02-21,super-rugby,2025,Reds,Moana Pasifika,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/queensland-reds-moana-pasifika-CzQkE6nT/,56,36,1.11,6.5,,,,64.5,1.9259,1.8929,bet365.us,market-average,
2025-02-22,super-rugby,2025,Brumbies,Western Force,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/act-brumbies-western-force-IDnHURW9/,42,45,1.13,6.0,,,,58.5,1.9091,1.9091,bet365.us,market-average,
2025-02-27,super-rugby,2025,Moana Pasifika,Highlanders,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/moana-pasifika-highlanders-pOWeNqPq/,29,31,3.35,1.33,,,,62.5,1.9091,1.9091,bet365.us,market-average,
2025-02-28,super-rugby,2025,Chiefs,Brumbies,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/waikato-chiefs-act-brumbies-dKZrqRo3/,49,34,1.13,6.0,,,,60.5,1.9091,1.9091,bet365.us,market-average,
2025-02-28,super-rugby,2025,Hurricanes,Blues,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/hurricanes-blues-4pwis5GF/,29,33,2.4,1.5814,,,,55.5,1.9091,1.9091,bet365.us,market-average,
2025-02-28,super-rugby,2025,Waratahs,Fijian Drua,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/waratahs-fijian-drua-IyV3LNgd/,29,24,1.25,4.0,,,,62.5,1.9091,1.9091,bet365.us,market-average,
2025-03-01,super-rugby,2025,Western Force,Reds,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/western-force-queensland-reds-OYkPOd0l/,24,28,3.2,1.3597,,,,66.5,1.9091,1.9091,bet365.us,market-average,
2025-03-06,super-rugby,2025,Blues,Brumbies,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/blues-act-brumbies-WbgXMzV0/,20,21,1.2801,3.75,,,,59.5,1.9091,1.9091,bet365.us,market-average,
2025-03-07,super-rugby,2025,Fijian Drua,Chiefs,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/fijian-drua-waikato-chiefs-C81uLEaD/,28,24,3.0,1.4,,,,59.5,1.9091,1.9091,bet365.us,market-average,
2025-03-07,super-rugby,2025,Moana Pasifika,Hurricanes,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/moana-pasifika-hurricanes-42lRrIiK/,40,31,4.33,1.2198,,,,63.5,1.9091,1.9091,bet365.us,market-average,
2025-03-08,super-rugby,2025,Crusaders,Reds,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/crusaders-queensland-reds-WCY5yzpf/,43,19,1.2101,4.5,,,,60.5,1.9091,1.9091,bet365.us,market-average,
2025-03-08,super-rugby,2025,Waratahs,Western Force,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/waratahs-western-force-OnVcwdFs/,34,10,1.4405,2.79,,,,52.5,1.9091,1.9091,bet365.us,market-average,
2025-03-13,super-rugby,2025,Highlanders,Hurricanes,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/highlanders-hurricanes-vqLMXiqJ/,18,20,2.04,1.7194,,,,59.5,1.9524,1.8696,bet365.us,market-average,
2025-03-14,super-rugby,2025,Brumbies,Fijian Drua,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/act-brumbies-fijian-drua-fi39eeyQ/,38,21,1.11,5.5,,,,60.5,1.8696,1.9524,bet365.us,market-average,
2025-03-14,super-rugby,2025,Chiefs,Blues,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/waikato-chiefs-blues-nkrllDTa/,32,31,1.2198,4.2,,,,54.5,1.8696,1.9524,bet365.us,market-average,
2025-03-14,super-rugby,2025,Crusaders,Western Force,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/crusaders-western-force-jNlujZbm/,55,33,1.02,15.0,,,,66.5,1.9091,1.9091,bet365.us,market-average,
2025-03-15,super-rugby,2025,Reds,Waratahs,https://www.oddsportal.com/rugby-union/world/super-rugby-2025/queensland-reds-waratahs-hnodnibC/,35,15,1.3802,3.1,,,,,,,bet365.us,,
